	ANY	DATA_APROVACIO	DESCRIPCIO	NOM_CURT	NOM_OFICIAL	NOM_P	SEXE_P
3239	1931.0	04/02/1931	Tomàs Mieres (Girona, 1400 - Barcelona, 1474). Jurista. Conseller i fiscal d'Alfons el Magnànim. Defensor de les llibertats ciutadanes: lluità contra l'existència dels serfs de la gleva.	Teulada	Carrer de Teulada	Tomàs	M
3240	1907.0	05/09/1907	Tomàs Padró i Pedret (Barcelona, 1840 - 1877). Dibuixant i pintor.	Thous	Carrer de Thous	Tomàs	M
3252	1979.0	20/12/1979	Josep Torras i Bages (les Cabanyes, 1846 - Vic, 1916). Eclesiàstic, escriptor i filòsof. Bisbe de Vic el 1899. Intervingué en la redacció de les Bases de Manresa (1892) com a delegat de les entitats catalanistes de Barcelona, ciutat on exercí una intensa labor pastoral i intel·lectual. Fou membre de l'Acadèmia de Belles Arts i de l'Acadèmia de Bones Lletres de Barcelona.	Ticià	Carrer de Ticià	Josep	M
3270	2009.0	08/01/2009	Josep Torres i Vilaseca (1824 - ?). Propietari des de 1864 del terreny on s'obrí el carrer.	Torelló	Carrer de Torelló	Josep	M
3274	1923.0	30/05/1923	Fèlix Torres i Amat de Palou (Sallent de Llobregat, 1772 - Madrid, 1847). Eclesiàstic i escriptor. Canonge a Barcelona i bisbe d'Astorga. Senador per Barcelona (1837 i 1840). Membre de l'Acadèmia de Bones Lletres (1816). Redactà la versió en llengua castellana de la Bíblia.	Ptge Torras Bages	Passatge de Torras i Bages	Fèlix	M
3285	1945.0	29/05/1945	Veïnat i antic poble del terme de Sant Sadurní de l'Heura (Baix Empordà). Carrer situat al grup de cases Ramon Albó, al Turó de la Peira, on diversos carrers són dedicats a poblacions de la província de Girona.	Torrelles	Carrer de Torrelles	Veïnat	i
3316	1942.0	07/07/1942	Francesc Trinxant i Morera (?, 1793 - Martorell, 1871). Propietari de la finca on s'obrí el carrer. El succeí el seu fill, Josep Trinxant i Casamitjana (1825 - 1907); el nét, Pere Trinxant i Reixach, i finalment Josep Trinxant i Bertran. Les terres havien estat propietat del marquès de Castellbell.	Trapani	Carrer de Trapani	Francesc	M
3355	1980.0	12/06/1980	Jaume II d'Urgell, el Dissortat (Balaguer, 1378/1380 - castell de Xàtiva, 1433). Comte d'Urgell, vescomte d'Àger i baró d'Entença. Fou empresonat i destituït del seu comtat per Ferran d'Antequera.	Turó Blau	Carrer del Turó Blau	Jaume	M
3356	1929.0	19/11/1929	José de Urrutia y de las Casas (Zalla-La Herrera, 1739 - Madrid, 1803). Militar. Capità general de Catalunya de 1794 a 1796. Fou el reorganitzador dels sometents armats del Principat. Aconseguí posar fi a la Guerra Gran (1795).	Parc de Monterols	Parc de Monterols	José	M
3362	1908.0	17/03/1908	Valentí Almirall i Llozer (Barcelona, 1841 - 1904). Polític i escriptor. Fou una de les figures més importants del ressorgiment polític català. L'any 1879 publicà El Diari Català, el primer diari en llengua catalana.	Tuset	Carrer de Tuset	Valentí	i
3363	1917.0	10/05/1917	Valentí Iglésias i Riera (Sant Martí Sesgueioles, 1844 - Barcelona, 1916). Propietari dels terrenys on s'obrí el carrer. El seu fill Valentí Iglésias i Abelló, que morí el 1966, fou regidor de la barriada el 1922 i el 1930.	Ulldecona	Carrer d'Ulldecona	Valentí	i
3364	1939.0	07/03/1939	Valero (segle XIX - XX). Família d'actors teatrals: José (Sevilla, 1808 - Barcelona, 1891); els seus germans, Josefa i Isidoro (? - Barcelona, 1906), i el seu fill, Ricardo.	U	Carrer U Zona Franca	Valero	i
3365	1946.0	26/06/1946	Josep Valeta d'Arquer (Arenys de Mar, 1876 - Barcelona, 1947). Advocat. Propietari dels terrenys que urbanitzà en l'antiga finca dels Fontcuberta-Dalmases.	Llicorella	Carrer de la Llicorella	Josep	M
3366	1929.0	10/12/1929	Gabriel de Vallseca (Barcelona, ? - Mallorca, segle XV). Cartògraf i pintor d'origen jueu. Es conserven mapamundis amb la seva signatura a Barcelona (1439), a París (1447) i a Florència (1449).	Autonomia	Carrer de l'Autonomia	Gabriel	M
3370	1965.0	28/06/1965	Coma de la Baixa Cerdanya (Lles). Carrer del barri de Ciutat Meridiana, on els carrers són dedicats en gran majoria a muntanyes, serralades i turons de Catalunya.	Pg Universal	Passeig Universal	Coma	i
3371	1991.0	11/03/1991	Pablo Iglesias Posse (Ferrol, 1850 - Madrid, 1925). Polític i dirigent socialista. Fundador del PSOE (1879).	Pl Universitat	Plaça de la Universitat	Pablo	M
3372	1984.0	27/01/1984	Antoni Desvalls i de Vergós (el Poal, 1666 - Viena, 1724) i Manuel Desvalls i de Vergós (?, 1674 - Viena, 1774). Militars i polítics partidaris dels Àustries, que es coneixen amb el nom de Cavallers de Poal (1666 - 1774).	Rda Universitat	Ronda de la Universitat	Antoni	M
3386	1876.0	05/01/1876	Rosa Vallmajor i Canet (Dosrius, 1778 - ?). Muller de Magí Modolell i Negrevernis, propietari del terreny on s'obrí el carrer.	Valentí Iglésias	Carrer de Valentí Iglésias	Rosa	F
3387	1908.0	17/03/1908	Agapit Vallmitjana i Barbany (Barcelona, 1833 - 1905). Escultor. Realitzà obres per al cementiri Vell o del Poblenou. Segons Roca i Comas, el carrer es deia inicialment carrer dels Vallmitjana i honrava Agapit Vallmitjana i el seu germà Venanci (Barcelona, 1829 - 1919), autor, entre d'altres, de les estàtues de Ramon Llull, sant Isidor i Averrois del vestíbul de la Universitat de Barcelona.	Valero	Carrer dels Valero	Agapit	i
3399	1929.0	19/11/1929	Juan Vázquez de Mella y Fanjul (Cangas de Onís, 1861 - Madrid, 1928). Advocat, polític tradicionalista i escriptor.	Valldoreix	Carrer de Valldoreix	Juan	M
3401	1983.0	09/07/1983	Joaquima de Vedruna i Vidal de Mas (Barcelona, 1783 - 1854). Fundadora de l'orde de les carmelites de la caritat.	Pl Vall d'Hebron	Plaça de la Vall d'Hebron	Joaquima	i
3405	1911.0	23/03/1911	Fet d'armes de Montjuïc, derrota de les tropes de Felip IV comandades pel marquès de Los Vélez, per les forces catalanes a la Guerra dels Segadors (1641). En foren els seus artífexs: Pau Claris, president de la Generalitat; Joan Pere Fontanella, conseller en cap; els militars: Francesc de Cabanyes, Francesc de Tamarit, Joan Baptista Montfar, Josep d'Ardena, Josep de Pinós, Joan de Copons, Caselles, Radas, Tapioles i d'altres.	Vallespir	Carrer del Vallespir	Fet	i
3406	1915.0	06/05/1915	Diego Rodríguez de Silva y Velázquez (Sevilla, 1599 - Madrid, 1660). Pintor de l'escola de Sevilla. Fou nomenat pintor del rei (1623), ajuda de cambra del rei (1643) i superintendent de les obres particulars de la Corona (1644). Acadèmic de San Luca de Roma (1650).	Vallfogona	Carrer de Vallfogona	Diego	M
3414	1959.0	28/01/1959	Ventura Rodríguez Tizón (Cienpozuelos, 1712 - Madrid, 1785). Arquitecte. A Barcelona, projectà i dirigí el Col·legi de Cirurgia el 1761.	Av Vallvidrera	Avinguda de Vallvidrera	Ventura	M
3418	1907.0	05/09/1907	Giuseppe Fortunino Francesco Verdi d'Uttini (Roncole, 1813 - Milà, 1901). Compositor. Principal figura musical del Risorgimento.	Ctra Vallv a Barna	Carretera de Vallvidrera a Barcelona	Giuseppe	M
3419	1919.0	18/06/1919	Per la batalla de Verdun de la Primera Guerra Mundial (1914-1918). Il·lustra la tendència francòfila de l'Ajuntament de l'època, amb la denominació d'altres carrers com la plaça de l'11 de novembre de 1918 (actualment plaça de Ramon Berenguer el Gran) o el passeig del Mariscal Joffre (actualment avinguda de Borbó que també ho fou la plaça de Vázquez de Mella).	Escar	Carrer de l'Escar	Per	M
3421	1927.0	18/05/1927	Família de pintors (segles XV i XVI). Els germans Jaume i Francesc Vergós; els seus fills Jaume (Barcelona, ? - 1503) i Francesc, i els fills de Jaume Vergós: Pau (? - 1495) i Rafael (? - 1500). Foren els darrers representants de la pintura catalana quatrecentista.	Bascònia	Carrer de Bascònia	Família	i
3427	1921.0	21/12/1921	Francesc de Puigpardines (les Preses, 1444 - Barcelona, 1500). Senyor de Verntallat i de Violant, i vescomte d'Hostoles. Capitost de remença i capità reial de Joan II.	Vehils	Carrer de Vehils	Francesc	M
3432	1918.0	28/01/1918	Miquel Biada i Bunyol (Mataró, 1789 - 1848). Armador i empresari. Impulsor de la construcció del primer ferrocarril a Catalunya, inaugurat el 28 d'octubre de 1848. Carrer obert pels volts dels anys 1840 - 1843.	Verema	Carrer de la Verema	Miquel	M
3437	1957.0	31/05/1957	Vicenç Martorell i Portas (Sant Feliu de Guíxols, 1879 - Barcelona, 1956). Enginyer militar i cartògraf. Fundador del Servei Parcel·lari de l'Ajuntament de Barcelona, que s'anomenà posteriorment Pla de la Ciutat.	Ventalló	Carrer de Ventalló	Vicenç	i
3439	1907.0	05/09/1907	Antonio Vico (Jerez de la Frontera, 1840 - Nuevitas, 1902). Actor teatral. Actuà a Barcelona entre 1888 i 1890.	Venus	Carrer de Venus	Antonio	M
3440	1980.0	28/11/1980	Víctor Balaguer i Cirera (Barcelona, 1824 - Madrid, 1901). Polític, historiador, poeta i dramaturg. Mantenidor dels Jocs Florals, mestre en gai saber i ministre de Foment i d'Ultramar durant el regnat d'Amadeu I.	Pl Veracruz	Plaça de Veracruz	Víctor	M
3441	1979.0	20/12/1979	Lluís Companys i Jover (el Tarròs, 1882 - castell de Montjuïc, Barcelona, 1940). Polític. President de la Generalitat (1934 i 1936 - 1940). Proclamà l'Estat Català dins la República Federal Espanyola (1934).	Verdet	Carrer del Verdet	Lluís	M
3444	1981.0	27/02/1981	Joan Carles I de Borbó i de Borbó (Roma, 1938). Rei constitucional d'Espanya, proclamat el 22 de novembre de 1975.	Bergara	Carrer de Bergara	Joan	M
3446	1907.0	05/09/1907	Vic (del llatí Vicus). Capital de la comarca d'Osona.	Verneda	Carrer de la Verneda	Vic	M
3449	1927.0	18/05/1927	Coexisteixen dues explicacions sobre la dedicació del carrer. Es considera dedicat a la memòria d'Aleix Vidal-Quadras i Ramon (Santiago de Cuba, 1826 - Barcelona, 1914). El 25 de maig de 1898, la reina regent li concedí la gràcia de compondre el cognom afegint-hi Quadras. D'altra banda, el 29 de novembre de 1866, l'Ajuntament de Sarrià donà les gràcies públicament a Manuel Vidal i Quadras, propietari, pel subministrament d'aigua a les fonts públiques.	Pl Verneda	Plaça de la Verneda	Coexisteixen	i
3450	1907.0	05/09/1907	Eduard Vidal i de Valenciano (Vilafranca del Penedès, 1838 - Barcelona, 1899). Comediògraf, polític i escriptor. Membre de l'Acadèmia de Bones Lletres de Barcelona (1898). Milità al Partit Republicà de Castelar.	Camí Verns	Camí dels Verns	Eduard	M
3451	1917.0	10/05/1917	Carles Gumersind Vidiella i Esteban (Arenys de Mar, 1856 - Barcelona, 1915). Pianista. Es dedicà a l'ensenyament.	Verntallat	Carrer de Verntallat	Carles	M
3464	1863.0	19/12/1863	Antoni Viladomat i Manald (Barcelona, 1678 - 1755). Pintor. Se centrà, sobretot, en la pintura religiosa.	Pl Víctor Balaguer	Plaça de Víctor Balaguer	Antoni	M
3470	1863.0	19/12/1863	Bernat de Vilamarí (? - 1516). Almirall. Senyor de Palau-saverdera, comte de Capaccio i capità general de l'Armada de la Corona catalanoaragonesa.	Vic	Carrer de Vic	Bernat	M
3473	1929.0	19/11/1929	Arnau de Vilanova (?, 1238 - Gènova, 1311). Metge i filòsof. Primer científic empíric.	Vidal i Quadras	Carrer de Vidal i Quadras	Arnau	M
3474	1915.0	21/01/1915	Pel nom de la barriada, el qual prové de l'ermita esmentada l'any 1031, existent a l'indret, anomenada de Santa Eulàlia de Vilapicina. Ja al segle X apareixen els noms Villa Peciguina (994) i Villa Picina (998). El nom pot significar forn de pega reïna.	Vidal Valenciano	Carrer de Vidal i de Valenciano	Pel	i
3477	1884.0	11/09/1884	Francesc Vilarós i Hortal (Barcelona, 1827 - 1907). Propietari dels terrenys i regidor de l'Ajuntament de l'antiga vila de Sant Gervasi.	Vidre	Carrer del Vidre	Francesc	M
3485	1863.0	19/12/1863	Antoni de Villarroel i Peláez (Barcelona, 1656 - Segòvia, 1742). Comandant suprem de les forces catalanes defensores de Barcelona el 1714.	Viladecans	Carrer de Viladecans	Antoni	M
3496	1943.0	16/03/1943	Andreua Arpád de Courtenay (Hongria, 1216 - Osca, 1251). Reina de Catalunya i Aragó, senyora de Montpeller, baronessa d'Omeladès i vescomtessa de Millau. Segona muller de Jaume I. Es donà aquest nom al carrer per substituir el de Yolanda (1943). Fou una petició de l'hispanòfil hongarès Oliver Brachfeld, amb motiu de la publicació d'una biografia de la reina i com a homenatge a Hongria.	Vilana	Carrer de Vilana	Andreua	i
3507	1907.0	05/09/1907	Pere Virgili i Bellver (Vilallonga del Camp, 1699 - Barcelona, 1776). Cirurgià. Fundador i primer director del Col·legi de Cirurgia de Barcelona (1760). Fou cirurgià de cambra de Ferran VI.	Villar	Carrer de Villar	Pere	M
3508	1907.0	05/09/1907	Viriat (serra da Estrêla, ? - ?, 139 aC). Pastor i capitost lusità en la lluita contra la dominació romana.	Vila-real	Carrer de Vila-real	Viriat	i
3511	1941.0	06/05/1941	Manuel d'Amat i de Junyent (Vacarisses, 1704/1707 - Barcelona, 1782). Militar. Virrei del Perú de 1761 a 1776. Militar de l'orde de Sant Joan de Jerusalem; participà en les campanyes d'Àfrica i d'Itàlia, i promogué expedicions d'exploració a les illes de Pasqua i Tahití.	Vinaròs	Carrer de Vinaròs	Manuel	M
3520	1992.0	24/12/1992	Josep Trueta i Raspall (Barcelona, 1897 - 1977). Cirurgià. Catedràtic d'ortopèdia a la Universitat d'Oxford. Membre del Consell Nacional Català de Londres (1940). Rebé la Medalla d'Or de Barcelona (1976), la Medalla d'Or de Sant Jordi de la Diputació de Barcelona i el premi Jaume I (1977).	Violant d'Hongria 	Carrer de Violant d'Hongria Reina d'Aragó	Josep	M
3521	1981.0	30/12/1981	Wilhelm Richard Wagner Pätz (Leipzig, 1813 - Venècia, 1883). Compositor.	Verge	Carrer de la Verge	Wilhelm	M
3523	1907.0	05/09/1907	James Watt (Greenock, 1736 - Handsworth, 1819). Enginyer. Inventor de la màquina de vapor.	Mare Déu Carmel	Carrer de la Mare de Déu del Carmel	James	M
3524	1936.0	13/03/1936	Arthur Colley Wellesley (Dublín, 1769 - castell de Walmer, Kent, 1852). Militar i polític més conegut com a duc de Wellington. General en cap de l'exèrcit anglès a la península Ibèrica durant la guerra del Francès. Duc de Ciudad Rodrigo, gran d'Espanya i príncep de Waterloo.	Mare Déu de Gràcia	Carrer de la Mare de Déu de Gràcia	Arthur	M
3537	1907.0	05/09/1907	Joan Illas i Vidal (Barcelona, 1819 - 1876). Advocat i economista.	Vista Bella	Carrer de Vista Bella	Joan	M
3538	2003.0	24/01/2003	Organització internacional, no governamental, creada amb la finalitat d'aconseguir l'alliberament dels presoners de consciència, que no hagin utilitzat la violència, i de garantir els drets humans allí on siguin violats; s'oposa a la tortura i a la pena de mort. Va ser fundada a Londres, el 1961, per l'advocat britànic Peter Berenson. L'any 1977 va rebre el premi Nobel de la pau i el 1978 el Premi dels Drets Humans de l'Organització de Nacions Unides (ONU). Carrer que forma conjunt amb altres de la zona relacionats amb la lluita per la pau i els drets humans.	Vistalegre	Carrer de Vistalegre	Organització	i
3543	1961.0	15/04/1961	Ignacio de Zuloaga y Zabaleta (Eibar, 1870 - Madrid, 1945). Pintor. Tingué una gran carrera pictòrica internacional i exposà les seves obres arreu del món. Fou un retratista consumat.	Rbla Volart	Rambla de Volart	Ignacio	M
3544	1979.0	20/12/1979	Rafael del Riego y Tuñas (Santa Maria de Tuñas, 1785 - Madrid, 1823). Militar liberal. Mariscal de camp, capità general de Galícia i d'Aragó, i diputat a Corts. Lluità contra Napoleó i fou un dels iniciadors del moviment insurreccional que l'any 1820 aconseguí el restabliment de la Constitució de 1812.	Doctor Trueta	Carrer del Doctor Trueta	Rafael	M
3545	1972.0	26/04/1972	Francisco de Zurbarán (Fuentedecantos, 1598 - Madrid, 1664). Pintor. Treballà amb Velázquez i rebé influències de l'art de Murillo.	Pl Wagner	Plaça de Wagner	Francisco	M
3586	1991.0	11/03/1991	Josep Finestres i de Monsalvo (Barcelona, 1688 - Cervera, 1777). Jurista. Ànima i guia de la Universitat de Cervera, la qual conegué un període d'esplendor en les dècades centrals del segle XVIII sota la seva presidència.	Moll Álvarez Campa	Moll d'Álvarez de la Campa	Josep	M
3587	1984.0	14/12/1984	John Fitzgerald Kennedy (Brooklyn, 1917 - Dallas, 1963). President dels Estats Units (1961 - 1963).	Moll Drassanes	Moll de les Drassanes	John	M
3589	1984.0	14/12/1984	Karl Marx (Trèveris, 1818 - Londres, 1883). Filòsof, polític i economista. Escriptor d'extensa producció orientada cap a la recerca de les lleis del desenvolupament i la transformació de la societat moderna. Cap polític de la Primera Internacional.	Moll Barcelona	Moll de Barcelona	Karl	M
3590	1984.0	14/12/1984	Joan Amades i Gelat (Barcelona, 1890 - 1959). Folklorista. Autor del famós Costumari català. Conservador del Museu d'Indústries i Arts Populars del Poble Espanyol de Barcelona, i responsable de la Secció de Gravats Populars a l'Arxiu Històric de la Ciutat de Barcelona.	Moll Barceloneta	Moll de la Barceloneta	Joan	M
3593	1984.0	14/12/1984	Elisard Sala i Casassas (1913 - 1970). Músic, ceramista i escriptor. El 1960 creà el grup infantil de música coral La Trapa.	Moll Contradic	Moll del Contradic	Elisard	i
3594	1984.0	14/12/1984	Josep Andreu i Laserre (Cubelles, 1896 - 1983). Pallasso de renom internacional, conegut arreu amb el pseudònim de Charlie Rivel.	Moll Costa	Moll de la Costa	Josep	M
3595	1984.0	14/12/1984	Andreu Nin i Pérez (el Vendrell, 1892 - Madrid, 1937). Polític i escriptor. Militant del moviment obrer.	Moll Dipòsit	Moll del Dipòsit	Andreu	M
3597	1984.0	14/12/1984	Josep Miret i Musté (Barcelona, 1907 - Mauthausen, 1944). Conseller de la Generalitat de Catalunya (1937) i dirigent del PSUC a l'exili.	Moll Inflamables	Moll d'Inflamables	Josep	M
3598	1984.0	14/12/1984	Josep Carner i Puig-Oriol (Barcelona, 1884 - Brussel·les, 1970). Escriptor. Llicenciat en dret i en filosofia i lletres. Membre de la Secció Filològica de l'Institut d'Estudis Catalans (1911) i del Govern de la Generalitat a l'exili (1945 - 1947).	Moll Lepant	Moll de Lepant	Josep	M
3599	1984.0	14/12/1984	Augusto César Sandino (Niquinihomo, 1893 - Managua, 1934). Patriota nicaragüenc. Des de l'any 1927 dirigí les guerrilles nacionalistes contra la dominació nord-americana. El 1933, després de la retirada dels marines, pactà amb el Govern i deposà les armes. El cap de la guàrdia nacional, Anastasio Somoza, el féu assassinar. El 1961, el moviment sandinista del poble es transformà en el Front Sandinista d'Alliberament Nacional, el qual utilitzà la lluita de guerrilles contra la dictadura. El triomf s'aconseguí l'any 1979 amb la destitució del dictador Somoza.	Moll Llevant	Moll de Llevant	Augusto	M
3601	1984.0	14/12/1984	Salvador Allende Gossens (Valparaíso, 1908 - Santiago de Xile, 1973). Metge i polític. President de Xile. Milità des de jove al Partit Socialista. Morí en el cop d'estat militar de 1973.	Moll Occidental	Moll Occidental	Salvador	M
3610	1994.0	20/06/1994	Per Cresques Abraham i Jafuda Cresques, pare i fill, eminents representants de l'escola cartogràfica catalanomallorquina. Cresques Abraham (Palma de Mallorca, 1381 - ?). Cartògraf, d'ofici bruixoler, rellotger i constructor d'instruments nàutics. Jafuda Cresques (Palma de Mallorca, ? - Barcelona, 1410). Cartògraf.	Ctra C Nord Tram 6	Carretera de Circumval·lació Nord Tram 6	Per	M
3622	1981.0	30/12/1981	Josep Torres i Clavé (Barcelona, 1906 - front de l'Ebre, 1939). Arquitecte. Un dels fundadors del GATCPAC. Fou un gran mestre del racionalisme arquitectònic català.	Almacelles	Carrer d'Almacelles	Josep	M
3626	1991.0	14/06/1991	Jaume Caresmar i Alemany (Igualada, 1717 - Barcelona, 1791). Eclesiàstic i erudit. Als vint-i-cinc anys prengué l'hàbit blanc de sant Norbert al convent de Bellpuig de les Avellanes, on fou arxiver i exercí com a docent. Treballà en diversos arxius: des de 1770, treballà a l'arxiu de la catedral de Barcelona i a l'Arxiu Diocesà. Fou membre de l'Acadèmia de Bones Lletres.	Pl Hispanitat	Plaça de la Hispanitat	Jaume	M
3628	1987.0	29/06/1987	Josep Maria de Sagarra i de Castellarnau (Barcelona, 1894 - 1961). Escriptor. Membre destacat de l'Institut d'Estudis Catalans i de l'Acadèmia de Bones Lletres. Obtingué nombrosos premis literaris.	Ptge Andalusia	Passatge d'Andalusia	Josep	M
3629	1987.0	29/06/1987	Ricard Beltrán i Rózpide (Barcelona, 1852 - Madrid, 1928). Escriptor i geògraf. Fou catedràtic de la Universitat de Madrid (1886) i acadèmic de l'Acadèmia de la Història (1902).	Ptge Via Trajana B	Passatge Via Trajana B	Ricard	M
3630	1987.0	29/06/1987	Lluís Nicolau i d'Olwer (Barcelona, 1888 - Mèxic, 1961). Historiador, hel·lenista, periodista i polític. Va intervenir en diverses publicacions i organitzacions republicanes.	Ptge Via Trajana A	Passatge Via Trajana A	Lluís	M
3631	1987.0	29/06/1987	Agustí Pedro i Pons (Barcelona, 1898 - 1971). Metge internista. Fou catedràtic de patologia i clínica mèdiques, i degà de la Facultat de Medicina de Barcelona. També fou president de l'Acadèmia de Ciències Mèdiques i de la de Medicina de Barcelona.	Can Castellví	Carrer de Can Castellví	Agustí	i
3632	1987.0	29/06/1987	Antoni Trias i Pujol (Badalona, 1891 - Santa Cristina d'Aro, 1970). Metge cirurgià. Catedràtic de patologia quirúrgica. Joaquim Trias i Pujol (Badalona, 1887 - Barcelona, 1964). Metge cirurgià. Catedràtic d'anatomia topogràfica, de terapèutica i de patologia quirúrgica. Degà de la Facultat de Medicina (1931 - 1939).	Binèfar	Carrer de Binèfar	Antoni	M
3633	1987.0	29/06/1987	August Pi i Sunyer (Barcelona, 1879 - Mèxic, 1965). Fisiòleg, escriptor i polític. Catedràtic de la Facultat de Medicina de Barcelona i membre del Consell de Cultura de la Generalitat i del Patronat de Govern de la UAB (1933 - 1939).	Moll Oest	Moll de l'Oest	August	M
3634	1986.0	21/08/1986	Jaume Serra i Hunter (Manresa, 1878 - Mèxic, 1943). Filòsof. Va presidir el Consell de Cultura de la Generalitat republicana.	Moll E Fernández	Moll d'Evaristo Fernández	Jaume	M
3635	1987.0	29/06/1987	Lluís Pericot i Garcia (Girona, 1899 - Barcelona, 1978). Prehistoriador. Catedràtic de la Universitat de Santiago de Compostel·la i de València. Degà de la Facultat de Lletres i vicepresident del Consell Superior d'Investigacions Científiques, entre altres càrrecs i mèrits.	Moll Zona Sud	Moll de la Zona Sud	Lluís	M
3636	1987.0	29/06/1987	Antoni Rubió i Lluch (Valladolid, 1856 - Barcelona, 1937). Professor, historiador i home de lletres. Catedràtic de literatura general a les universitats d'Oviedo i de Barcelona. Membre numerari de l'Acadèmia de Bones Lletres i de la de Belles Arts; corresponent de l'Acadèmia de la Història de Madrid i de l'Acadèmia Espanyola; també fou president de l'Institut d'Estudis Catalans, i cònsol de Grècia.	Ptja Barceloneta	Platja de la Barceloneta	Antoni	M
3641	2001.0	18/05/2001	Lola Anglada i Sarriera (Barcelona, 1892 - Tiana, 1984). Dibuixant, il·lustradora i escriptora. Creà un món propi de mites infantils arrelats en la cultura de la Barcelona vuitcentista. Col·laborà també en cròniques gràfiques, les quals són un valuós document sobre els costums, la indumentària i el mobiliari de l'època.	Ptge Camí Mas Saur	Passatge del Camí del Mas Sauró	Lola	F
3649	2006.0	14/11/2006	Josep Llobera i Sampons (Tàrrega, 1868 - Barcelona, 1938). Comerciant de l'Hospitalet. Casat en segones núpcies amb Eulàlia Briquets i Ventura, propietària dels terrenys on s'obrí el carrer.	Mirador del Palau	Carrer del Mirador del Palau Nacional	Josep	M
3653	1987.0	29/06/1987	Josep Comas i Solà (Barcelona, 1868 - 1937). Astrònom. El 1911 fundà la Societat Astronòmica d'Espanya i Amèrica. Dirigí la instal·lació de l'Observatori Fabra i fou director del Servei d'Astronomia de la Generalitat.	Ptge Tt Estadella	Passatge del Torrent de l'Estadella	Josep	M
3656	1987.0	07/07/1987	Carles Cardó i Sanjoan (Valls, 1884 - Barcelona, 1958). Eclesiàstic i escriptor. Doctor en teologia i dret canònic. Canonge de la seu barcelonina (1918). Milità al moviment catalanista.	Papiol	Carrer del Papiol	Carles	M
3659	1987.0	07/07/1987	Joan Peiró i Belis (Barcelona, 1887 - Paterna, 1942). Anarcosindicalista. Inicià la militància a la Federació Espanyola de Vidriers i Cristallers a Badalona. Va ser ministre d'Indústria al Govern de Largo Caballero.	Òrrius	Carrer d'Òrrius	Joan	M
3660	1987.0	07/07/1987	Antoni Pérez i Moya (València, 1884 - Barcelona, 1964). Compositor, organista, director de cors i autor de nombroses sardanes. El 1904 dirigí la Schola Cantorum de Sant Miquel Arcàngel i un cor d'interns de la presó Model de Barcelona (1915 - 1925). Director de l'Orfeó de Sants (1925 - 1936) i de l'Orfeó de Santa Llúcia (1943 - 1955).	Josep M. Sagarra	Carrer de Josep M. de Sagarra	Antoni	M
3661	1987.0	07/07/1987	Josep Moragues i Sobrevia, signava Mas (Sant Hilari Sacalm, 1669 - Barcelona, 1715). Militar. Governador de la Seu d'Urgell. Lluità al servei del rei arxiduc Carles III. Fou empresonat i executat pels filipistes. El seu cap fou exhibit al Portal de Mar de Barcelona fins al 1727.	Beltrán i Rózpide	Carrer de Beltrán i Rózpide	Josep	M
3681	1988.0	19/01/1988	Isidre Nonell i Monturiol (Barcelona, 1873 - 1911). Pintor i dibuixant.	Pg Bosc Roquetes	Passeig del Bosc de Roquetes	Isidre	i
3682	1988.0	19/01/1988	Josep Irla i Bosch (Sant Feliu de Guíxols, 1876 - Saint Raphaël, 1958). Polític. President de la Generalitat a l'exili (1940 - 1955).	Mirador de Llobera	Carrer del Mirador de Llobera	Josep	M
3686	1991.0	28/02/1991	Alfonso Daniel Rodríguez Castelao (Rianxo, 1886 - Buenos Aires, 1950). Polític, escriptor i dibuixant. El 1946 fou nomenat ministre del Govern de la República a l'exili i residí a París.	Longitudinal 6	Carrer Longitudinal 6	Alfonso	M
3690	1989.0	18/04/1989	Zenòbia Camprubí i Aymar (Malgrat, 1887 - San Juan de Puerto Rico, 1956). Escriptora. Traduí de l'anglès al castellà l'obra literària de Rabindranath Tagore. El 1916 es casà amb Juan Ramón Jiménez.	SN (Llerona Baleny	Carrer Sense Nom (Llerona Balenya)	Zenòbia	i
3693	1989.0	18/04/1989	Nemesi Ponsati i Solà (Barcelona, 1897 - 1980). Farmacèutic. Impulsor de l'esport: president del Club Natació Barcelona.	Comas i Solà	Carrer de Comas i Solà	Nemesi	i
3694	1989.0	18/04/1989	Joaquim Puig i Pidemunt (Osor, 1907 - Barcelona, 1949). Vocal d'alimentació del Consell d'Economia de la Generalitat (1936 - 1938). Fundador de la publicació Catalunya en la França ocupada pels alemanys. Fundador de Lluita, òrgan del PSUC, i membre de la direcció del PSUC a l'interior de Catalunya, de 1945 a 1949, i a l'interior de la Model fins que fou afusellat.	Pl Cultura	Plaça de la Cultura	Joaquim	M
3699	1989.0	17/05/1989	Miquel Casablancas i Joanico (Sabadell, 1913 - Barcelona, 1981). Vicepresident de l'Associació de Veïns del barri de Sant Andreu.	Pl Joan Peiró	Plaça de Joan Peiró	Miquel	M
3702	1989.0	21/07/1989	Carles Pi i Sunyer (Barcelona, 1888 - Caracas, 1971). Polític, economista i escriptor. Dirigí l'Escola Municipal d'Arts i Oficis de Sants i l'Escola Superior d'Agricultura de la Mancomunitat. Fou diputat al Parlament de Catalunya i a les Corts espanyoles. Fou conseller de Finances de la Generalitat (1932) i alcalde de Barcelona (1934). S'exilià l'any 1952 i s'establí a Caracas.	Camí Ciureny	Camí del Ciureny	Carles	M
